忠明平日PM2.5,埔里平日PM2.5,線西平日PM2.5,忠明假日PM2.5,埔里假日PM2.5,線西假日PM2.5
13 ,43 ,9 ,75 ,84 ,90 
19 ,42 ,10 ,79 ,79 ,85 
19 ,38 ,17 ,72 ,79 ,83 
24 ,39 ,18 ,73 ,79 ,85 
18 ,44 ,22 ,73 ,76 ,87 
23 ,51 ,23 ,75 ,75 ,88 
27 ,50 ,23 ,69 ,76 ,81 
35 ,51 ,19 ,69 ,80 ,74 
25 ,51 ,14 ,68 ,75 ,71 
13 ,49 ,18 ,66 ,69 ,59 
14 ,54 ,22 ,67 ,68 ,50 
20 ,53 ,23 ,66 ,57 ,51 
20 ,40 ,20 ,72 ,40 ,59 
18 ,26 ,18 ,64 ,25 ,64 
18 ,26 ,12 ,64 ,14 ,58 
16 ,31 ,15 ,66 ,14 ,55 
15 ,30 ,16 ,63 ,15 ,50 
