퐑�� PM10,퐑�� PM2.5,퐑�� RH,퐑�� Temp,퐑�� Rain,퐑�� Wind
55,24,84,16,0,3.1
56,25,84,16,0,3.4
56,28,84,16,0,3
51,25,83,17,0,5
50,20,82,16,0,5.6
51,20,80,16,0,6.8
43,26,77,15,0,7.2
44,30,79,15,0,7.3
42,30,78,14,0,7.1
46,33,74,14,0,8
64,39,66,15,0,8.7
81,40,60,16,0,8.4
93,39,54,17,0,9.3
105,44,50,17,0,9.4
110,51,47,18,0,9.1
108,54,47,18,0,8.2
109,57,48,17,0,8.7
109,57,50,16,0,8.8
117,60,53,15,0,9.9
130,71,59,15,0,8.8
120,72,64,14,0,8.6
90,57,63,13,0,9.5
70,41,63,13,0,8.8
59,35,59,12,0,8.5
46,23,56,12,0,8.7
40,13,55,12,0,8.2
39,15,55,12,0,8.1
38,14,56,12,0,7.4
32,14,55,12,0,7.8
32,15,55,12,0,7.1
35,13,56,12,0,7.7
33,8,60,12,0,7
29,8,64,11,0,7
27,9,62,11,0,7.4
28,12,60,12,0,7.1
35,14,58,13,0,7.1
38,11,55,14,0,8.3
45,15,55,15,0,7.8
64,20,56,15,0,7.9
73,19,58,15,0,8.2
65,17,59,15,0,8
60,17,61,15,0,8
57,21,64,14,0,8.1
50,21,66,13,0,7.2
37,18,66,12,0,6.5
31,20,65,12,0,7
38,20,65,12,0,6.7
35,19,66,12,0,6.2
34,15,65,12,0,6.3
31,15,66,12,0,5.1
22,14,67,12,0,4.6
23,9,68,12,0,4.1
24,11,68,12,0,4.3
29,17,68,12,0,3.9
29,14,67,12,0,4.1
21,8,66,13,0,4.9
18,8,66,13,0,5
16,7,66,13,0,4.6
22,8,62,14,0,4.8
32,11,58,15,0,4.4
40,15,56,16,0,4.1
46,14,56,17,0,4.2
53,14,58,17,0,2.8
49,14,59,17,0,2.7
38,10,61,17,0,3.7
40,10,64,16,0,3.9
44,15,65,16,0,4.6
40,14,65,15,0,4.4
32,9,66,15,0,4
31,13,67,14,0,2.7
37,20,69,14,0,1.7
43,23,72,13,0,1.5
49,24,74,13,0,1.6
51,26,74,13,0,1.8
49,27,75,13,0,1.6
40,26,76,13,0,1.3
37,25,77,13,0,1.4
42,24,77,13,0,1.4
